,yokai,question,correct,gpt4o-mini,meta-llama-3.3-70b-instruct,gpt4o,llama-3.1-70b-japanese-instruct-2407,llama-3.1-swallow-70b-instruct-v0.1,llama-3-elyza-jp-8b,qwen2.5-32b-instruct,calm3-chat,qwen2.5-7b-instruct,llama-3.1-swallow-8b-instruct-v0.3,eurollm-9b-instruct,qwen2-7b-instruction,qwen2.5-14b-instruct,qwen2.5-3b-instruct,llama-3.1-swallow-8b-instruct-v0.1,gemma-2-27b-it,llama-3.1-swallow-8b-instruct-v0.2,meta-llama-3.1-8b-instruct,meta-llama-3-8b-instruct,tanuki-8x8b-dpo-v1.0,mistral-nemo-instruct-2407,gemma-2-9b-it,swallow-13b-instruct-v0.1,llm-jp-3-13b-insturct,llama-3.2-3b-instruct,gemma-2-2b-it,swallow-7b-instruct-v0.1,llm-jp-3-1.8b-instruct,llm-jp-3-3.7b-instruct,mistral-7b-instruct-v0.2,tanuki-8b-dpo-v1.0,eurollm-1.7b-instruct,llama-3-swallow-70b-instruct-v0.1,llama-3-swallow-8b-instruct-v0.1
0,アイヌカイセイ[1],"アイヌカイセイが現れるとされる場所はどこか、以下の4つから回答を1つ選び出力しなさい。
- 新しい家
- 空家
- 公園
- 神社",空家,True,True,True,True,True,True,True,False,True,False,,False,False,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,,,
1,アイヌソッキ[2],"アイヌソッキは日本の民話において、長寿をもたらすとされる生物に関連していますが、具体的に何を食べると長寿を保つとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 人魚の肉
- トドの肉
- アザラシの肉
- クジラの肉",人魚の肉,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,,True,,
2,青行燈,"日本の妖怪である「青行燈」が現れるとされる場面はどのような時か、以下の4つから回答を1つ選び出力しなさい。
- 百物語の99話目が終わったとき
- 百物語の100話目が終わったとき
- 百物語の最初の話を始めたとき
- 百物語の合間に話が途切れたとき",百物語の100話目が終わったとき,False,True,False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,True,False,,True,False,False,False,True,False,True,False,False,False,,,,
3,青鷺火,"日本の妖怪青鷺火は、どのような現象として知られていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- サギが昼間に飛ぶ
- サギが夜間に青白く光る
- サギが地面に埋まる
- サギが水中で泳ぐ",サギが夜間に青白く光る,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,
4,蒿雀,"日本の妖怪である「送り雀」は、その鳴き声を実在の鳥に例えられることが多いですが、どの鳥に例えられることが一般的でしょうか？以下の4つから回答を1つ選び出力しなさい。
- ウグイス
- アオジ
- スズメ
- カナリア",アオジ,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,,
5,青女房,"日本の妖怪である「青女房」が描かれる時、どのような時代の女性の姿を模しているとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 江戸時代風
- 平安時代風
- 明治時代風
- 大正時代風",平安時代風,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,,False,,
6,青坊主,"日本の妖怪である「青坊主」は、どのような形で現れるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 小さな妖精の姿
- 大きな坊主姿の人影
- 普通の人間の姿
- 動物の姿",大きな坊主姿の人影,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,False,True,False,True,True,False,,,,
7,赤足,"日本の妖怪である「赤足」が人にどのような影響を与えるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 視力を奪う
- 足を絡めて歩きにくくする
- 声を失わせる
- 記憶を消す",足を絡めて歩きにくくする,True,True,True,True,True,True,False,True,,True,False,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,,,
8,赤えい,"日本の妖怪である「赤えい」が人々に影響を与えるとされる現象は何と記録されていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 島が海に沈む
- 雷が鳴る
- 大波が起こる
- 魚が大量に漁れる",島が海に沈む,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,
9,赤頭,"日本の妖怪である「赤頭」が特徴的な髪の色とされている色は何とされていますか？以下の4つから回答を1つ選び出力しなさい。
- 青
- 緑
- 赤
- 黒",赤,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
